Date,Uncovered,Du,Ru,Exposed,Isolated,Infected,Di,Ri,Apathetic,Da,Ra
16-06-21,1318,34,828,23807,1533,3956,60,2679,1102,32,686
17-06-21,1213,33,795,24871,1795,3840,63,2714,630,24,437
18-06-21,1408,40,865,20882,1951,3883,54,1955,864,25,592
19-06-21,798,27,577,16694,1234,3057,67,1725,361,15,245
20-06-21,1068,28,677,22231,1346,3641,82,2509,789,25,553
21-06-21,1560,42,1012,24057,1813,4636,78,2827,1306,40,849
22-06-21,1390,36,851,25028,1905,4846,76,2903,874,31,601
23-06-21,1769,46,1115,28256,1973,5727,85,3168,1565,44,1037
24-06-21,2237,64,1381,30391,2590,6058,81,3230,1883,49,1159
25-06-21,1639,42,1022,27653,2494,5869,108,2776,784,26,521
26-06-21,1395,44,865,19262,1890,4334,77,3295,900,29,601
27-06-21,1700,51,1110,24400,2315,5268,119,3295,1085,36,712
28-06-21,1997,56,1219,35059,2972,8364,104,3570,1021,32,631
29-06-21,2279,65,1403,31982,3009,7666,112,4027,1548,45,999
30-06-21,2140,59,1337,35105,2840,8822,115,4550,1440,41,921
01-07-21,2508,66,1571,32055,2869,8301,143,4663,2146,59,1343
02-07-21,2407,63,1493,30012,3014,8483,132,4509,1800,49,1097
03-07-21,1671,52,1103,22687,2107,6214,134,3777,1235,32,813
04-07-21,2072,56,1254,29879,2767,8661,153,4698,1376,37,870
05-07-21,2911,83,1779,34002,3507,9964,164,5185,2315,64,1409
06-07-21,3250,88,1965,36631,4084,11525,163,5433,2415,63,1542
05-07-21,3065,85,1902,35639,4064,11162,201,5987,2066,55,1325
08-07-21,3235,83,1942,36850,4334,11651,199,5844,2135,59,1282
09-07-21,3614,95,2171,36586,4211,11324,212,6038,3017,78,1905
10-07-21,1896,53,1189,27884,2773,8772,185,5755,1019,33,651
11-07-21,3175,85,1923,40015,4069,11874,230,6362,2281,62,1444
12-07-21,3457,95,2101,44067,4555,13768,220,7020,2358,64,1430
13-07-21,4054,112,2493,41755,4294,12198,203,7646,3814,103,2298
14-07-21,3739,101,2326,42490,4245,12383,210,8245,3233,87,2009
15-07-21,3208,85,2003,44941,3825,12236,226,8395,2591,71,1618
16-07-21,3823,99,2322,41945,4216,12148,187,8536,3430,93,2118
17-07-21,2871,74,1796,29214,2536,8489,204,8820,3206,84,2022
18-07-21,3519,95,2186,39806,3981,11578,225,8845,3056,86,1838
19-07-21,3476,97,2090,45012,3951,13321,231,9335,3000,81,1890
20-07-21,3821,98,2391,39510,3783,11579,200,9997,3858,98,2317
21-07-21,2467,68,1554,24979,3172,7614,173,9704,1762,51,1153
22-07-21,1752,53,1115,11486,1686,3697,187,8566,1818,50,1166
23-07-21,1449,39,907,20493,1674,6364,166,9006,1223,32,741
24-07-21,1719,52,1069,20827,1725,6780,195,9723,1713,52,1113
25-07-21,3226,91,1994,37587,3792,11291,228,10584,2660,72,1631
26-07-21,3625,100,2265,50952,4443,15192,247,11052,2807,73,1766
27-07-21,4791,127,2884,52478,5138,14925,258,12439,4443,113,2726
28-07-21,4314,111,2653,53877,4913,16230,237,13470,3714,100,2265
29-07-21,4990,130,3047,52282,5088,15271,239,14336,4892,131,2984
30-07-21,5167,131,3112,45044,4646,13972,212,13975,5687,145,3485
31-07-21,3443,91,2141,30980,2970,9369,218,14017,3916,101,2422
